,Star_name,Distance,Mass,Radius,Luminosity
0,Sun,0.000015813,1,1,1
1,Sirius,8.6,2.1,1.76,25.4
2,Canopus,310,15,71,"13,500"
3,Alpha Centauri,4.4,1.1,1.2,2
4,Arcturus,37,1.1,26,170
5,Vega,25,2.2,2.7,50
6,Capella,43,2.6,12,150
7,Rigel,860,23,78.9,"120,000"
8,Procyon,11.4,1.5,1.9,7.7
9,Betelgeuse,0640[1],20,950,"60,000"
10,Achernar,144,6.7,9.3,"3,000"
11,Hadar,390,10.5,8.6,"42,000"
12,Altair,17,1.8,1.8,10.5
13,Acrux,320,18,8.9,"25,000"
14,Aldebaran,65,1.5,44,520
15,Antares,600,12,680,"75,000"
16,Spica,260,11.43,7.47,"20,512"
17,Pollux,34,1.9,8.8,43
18,Fomalhaut,25,1.9,1.8,16.6
19,Deneb,"2,600",19,203,"200,000"
20,Mimosa,350,16,8.4,"34,000"
21,Regulus,77,3.8,3.1,290
22,Adhara,430,12.5,14,"39,000"
23,Shaula,700,14.5,8.8,"36,000"
24,Castor,52,2.8,2.4,30
25,Gacrux,88,1.5,84,820
26,Bellatrix,240,8.6,5.8,"9,200"
27,Elnath,130,5,4.2,700
28,Miaplacidus,110,3.5,6.8,290
29,Alnilam,"2,000",32,42,"380,000"
30,Gamma Velorum,"1,100",9,6,"170,000"
31,Alnair,101,4,3.4,260
32,Alioth,81,2.9,4.2,110
33,Alnitak,1050,33,20,"120,000"
34,Dubhe,120,4.25,30,300
35,Mirfak,590,8.5,68,"5,000"
36,Wezen,"1,600",17,200,"82,000"
37,Sargas,270,5.7,26,"1,800"
38,Kaus Australis,140,3.5,6.8,360
39,Avior,630,9,130,"60,000"
40,Alkaid,104,6.1,3.4,"1,350"
41,Menkalinan,81,2.39,2.77,50
42,Atria,390,7,92,"5,500"
43,Alhena,109,2.8,3.3,120
44,Peacock,180,5.9,4.8,"2,200"
45,Alsephina[2],80,2.4,2.9,90
46,Mirzam,500,13.5,10,"27,000"
47,Polaris,430,5.4,39,"2,500"
48,Alphard,180,3,50,780
49,Scheat,196,2.1,95,"1,500"
50,Almaaz,653,15,140,"43,000"
51,Rasalgethi,360,2.8,280,"8,300"
52,Tau Ceti,11.9,0.783,0.893,0.52
53,Delta Pavonis,19.92,0.991,1.22,1.22
54,Ran,10.48,0.82,0.74,0.34
55,V382 Carinae,"8,900",20,485,"212,000"
57,Delta Cephei,887,4.5,44.5,"2,000"
58,Mu Cephei,"6,000",19.2,972,"135,000"
59,Titawin,44.25,1.27,1.48,3.57
60,Rho Cassiopeiae,"8,154",22,636-981,"347,000 - 530,000"
61,P Cygni,"5,545",30,76,"610,000"
62,La Superba,"1,000",,129 - 342,"2,472 - 5,800"
63,VV Cephei,"4,900",18.2,"516 - 1,050","200,000"
64,61 Cygni,11.41,0.7,0.665,0.153
65,R Doradus,178,0.7 - 1.0,298,"4,350"
66,Polaris Australis,281,1.59,3.74,38
